"","ENST","ENSG","Symbol","Entrez"
"181","ENST00000614018","ENSG00000275946","KIR2DL5B",553128
"182","ENST00000610626","ENSG00000276974","",NA
"183","ENST00000616364","ENSG00000278325","LILRP1",NA
"184","ENST00000614255","ENSG00000276930","KIR3DL3",115653
"185","ENST00000612865","ENSG00000274189","KIR2DL4",3805
"187","ENST00000615600","ENSG00000277044","OPRL1",4987
"190","ENST00000612646","ENSG00000277339","NPBWR2",2832
"191","ENST00000630076","ENSG00000280695","",NA
"192","ENST00000619476","ENSG00000276501","KIR3DL1",3811
"193","ENST00000616597","ENSG00000276876","MYT1",NA
"198","ENST00000619074","ENSG00000276328","KIR3DL3",115653
"199","ENST00000614379","ENSG00000275848","KIR2DL4",3805
"200","ENST00000615298","ENSG00000273510","KIR2DL1",3802
"201","ENST00000616715","ENSG00000277176","KIR3DP1",NA
"203","ENST00000620959","ENSG00000276329","KIR3DL1",3811
"204","ENST00000613666","ENSG00000274696","KIR3DL3",115653
"206","ENST00000614885","ENSG00000276518","KIR3DP1",NA
"207","ENST00000622127","ENSG00000278152","KIR2DS2",100132285
"209","ENST00000617711","ENSG00000276595","PTCHD3",374308
"211","ENST00000617919","ENSG00000276086","KIR3DL3",115653
"212","ENST00000616869","ENSG00000277267","LILRP2",79166
"214","ENST00000616188","ENSG00000275288","KIR3DL1",3811
"215","ENST00000618890","ENSG00000276534","KIR3DS1",3813
"216","ENST00000611206","ENSG00000277725","KIR2DL2",3803
"217","ENST00000400208","ENSG00000275336","",NA
"218","ENST00000620136","ENSG00000276777","ODAD2P1",NA
"219","ENST00000619084","ENSG00000273681","FAM210CP",NA
"220","ENST00000617488","ENSG00000278364","TRIAP1P1",NA
"221","ENST00000621236","ENSG00000273501","",NA
"222","ENST00000617354","ENSG00000274722","KIR3DL2",3812
"224","ENST00000612283","ENSG00000278036","",NA
"225","ENST00000622649","ENSG00000273918","",NA
"226","ENST00000621002","ENSG00000276044","KIR2DL4",3805
"230","ENST00000613250","ENSG00000275593","KIR3DP1",NA
"232","ENST00000617102","ENSG00000274163","KIR3DP1",NA
"233","ENST00000612783","ENSG00000274957","KIR2DS4",3809
"234","ENST00000618685","ENSG00000274842","LILRP2",79166
"236","ENST00000610427","ENSG00000278614","KIR2DP1",NA
"237","ENST00000616354","ENSG00000278430","KIR2DL4",3805
"242","ENST00000620669","ENSG00000274406","KIR2DS4",3809
"243","ENST00000617447","ENSG00000274120","LILRP2",79166
"245","ENST00000616310","ENSG00000275276","KIR2DL1",3802
"246","ENST00000619022","ENSG00000277835","KIR3DP1",NA
"248","ENST00000611495","ENSG00000276425","KIR2DS2",100132285
"249","ENST00000621207","ENSG00000275421","KIR2DS1",3806
"250","ENST00000617783","ENSG00000273526","KIR2DS4",3809
"251","ENST00000613580","ENSG00000274782","KIR2DL1",3802
"252","ENST00000618920","ENSG00000275172","KIR3DL3",115653
"253","ENST00000612159","ENSG00000276985","FCAR",2204
"266","ENST00000618071","ENSG00000273603","KIR2DS1",3806
"267","ENST00000617584","ENSG00000275433","KIR3DL3",115653
"268","ENST00000613155","ENSG00000275596","",57292
"269","ENST00000615361","ENSG00000273738","FCAR",2204
"282","ENST00000611045","ENSG00000273922","LILRP2",79166
"284","ENST00000610407","ENSG00000274830","KIR2DL3",3804
"285","ENST00000614429","ENSG00000275608","KIR3DS1",3813
"287","ENST00000620281","ENSG00000275436","KIR2DL5B",553128
"288","ENST00000622024","ENSG00000276004","KIR3DL2",3812
"290","ENST00000613596","ENSG00000275112","LILRP1",NA
"291","ENST00000611568","ENSG00000274851","KIR2DP1",NA
"292","ENST00000613378","ENSG00000274518","KIR2DS2",100132285
"293","ENST00000619698","ENSG00000277650","KIR2DS5",3810
"294","ENST00000612178","ENSG00000273688","KIR3DP1",NA
"295","ENST00000613188","ENSG00000276013","",NA
"296","ENST00000615996","ENSG00000277078","KIR2DS4",3809
"297","ENST00000617944","ENSG00000277570","LILRP1",NA
"298","ENST00000610961","ENSG00000276306","",NA
"299","ENST00000619637","ENSG00000274955","KIR2DL4",3805
"302","ENST00000610911","ENSG00000274945","KIR2DL4",3805
"307","ENST00000614650","ENSG00000273661","KIR2DL2",3803
