"","ENST","ENSG","Symbol","Entrez"
"12612","ENST00000445788","ENSG00000224639","C4B",721
"12613","ENST00000419261","ENSG00000233210","GPANK1",7918
"12623","ENST00000427298","ENSG00000227314","MSH5",4439
"12639","ENST00000450387","ENSG00000230136","OR2J4P",NA
"12640","ENST00000434722","ENSG00000230957","MAS1LP1",NA
"12641","ENST00000434151","ENSG00000237046","TRIM40",135644
"12645","ENST00000449414","ENSG00000233019","OR2P1P",NA
"12646","ENST00000414463","ENSG00000228357","HSD17B8",7923
"12648","ENST00000382670","ENSG00000197038","RBMY1A3P",NA
"12649","ENST00000610661","ENSG00000275310","",NA
"12650","ENST00000434487","ENSG00000232808","TTTY20",252951
"12651","ENST00000426950","ENSG00000233803","TSPY4",728395
"12656","ENST00000383121","ENSG00000206237","HLA-DQB1",3119
"12657","ENST00000627995","ENSG00000280792","",NA
"12658","ENST00000628073","ENSG00000281384","",NA
"12661","ENST00000414129","ENSG00000224554","RANP1",NA
"12662","ENST00000448990","ENSG00000233584","HLA-DPB2",NA
"12664","ENST00000447811","ENSG00000240008","LY6G6F",259215
"12665","ENST00000444727","ENSG00000235394","ZNRD1ASP",80862
"12676","ENST00000426661","ENSG00000225560","FAM197Y8",105379268
"12679","ENST00000440146","ENSG00000227650","UQCRHP1",NA
"12680","ENST00000450647","ENSG00000232026","",102725019
"12683","ENST00000287721","ENSG00000229549","TSPY8",728403
"12688","ENST00000446512","ENSG00000235507","ZDHHC20P1",NA
"12689","ENST00000420270","ENSG00000227703","RANP1",NA
"12690","ENST00000416153","ENSG00000232308","MUCL3",135656
"12692","ENST00000441745","ENSG00000230181","RPL13AP",NA
"12693","ENST00000383369","ENSG00000236178","VARS2",57176
"12705","ENST00000433321","ENSG00000228383","FAM197Y7",105379269
"12707","ENST00000442960","ENSG00000226260","HLA-DRA",3122
"12710","ENST00000432892","ENSG00000286120","",NA
"12711","ENST00000431358","ENSG00000188656","TSPY7P",NA
"12712","ENST00000413367","ENSG00000232007","POLR2LP1",NA
"12713","ENST00000442145","ENSG00000237802","FAM197Y6",105379270
"12715","ENST00000449044","ENSG00000228515","MAS1L",116511
"12716","ENST00000420524","ENSG00000286173","",NA
"12717","ENST00000457222","ENSG00000228927","TSPY3",728137
"12722","ENST00000425097","ENSG00000237112","GABBR1",2550
"12735","ENST00000440095","ENSG00000225993","LY6G6D",58530
"12741","ENST00000440096","ENSG00000226591","COL11A2P1",NA
"12742","ENST00000460279","ENSG00000233164","C6orf136",221545
"12750","ENST00000455254","ENSG00000226555","AGKP1",NA
"12751","ENST00000434164","ENSG00000228787","NLGN4Y-AS1",100874056
"12752","ENST00000358944","ENSG00000242389","RBMY1E",378950
"12755","ENST00000487541","ENSG00000235439","DDX39B",7919
"12777","ENST00000450236","ENSG00000230128","IER3",NA
"12779","ENST00000457432","ENSG00000229493","HLA-DQB2",3120
"12783","ENST00000643089","ENSG00000165246","NLGN4Y",22829
"12794","ENST00000467546","ENSG00000228854","NRM",11270
"12803","ENST00000434921","ENSG00000225714","POLR2LP1",NA
"12804","ENST00000425603","ENSG00000236632","HLA-E",3133
"12807","ENST00000383566","ENSG00000206481","MDC1",9656
"12815","ENST00000465683","ENSG00000241386","HLA-DOB",3112
"12819","ENST00000441139","ENSG00000215580","BCORP1",286554
"12825","ENST00000453266","ENSG00000225130","TRIM31",11074
"12834","ENST00000620700","ENSG00000278212","",NA
"12838","ENST00000580354","ENSG00000264025","",NA
"12839","ENST00000581263","ENSG00000265634","SNORD32B",692092
"12840","ENST00000581614","ENSG00000265674","",NA
"12841","ENST00000613883","ENSG00000273601","",NA
"12842","ENST00000457875","ENSG00000237165","CDSN",NA
"12843","ENST00000617212","ENSG00000276608","",NA
"12844","ENST00000615205","ENSG00000275424","",NA
"12845","ENST00000578117","ENSG00000266548","",NA
"12846","ENST00000578738","ENSG00000266231","",NA
"12847","ENST00000463759","ENSG00000264393","",NA
"12848","ENST00000581845","ENSG00000266653","",NA
"12849","ENST00000652068","ENSG00000231535","LINC00278",100873962
"12859","ENST00000580417","ENSG00000265849","SNORD117",692233
"12860","ENST00000383224","ENSG00000206291","HLA-DPA1",3113
"12868","ENST00000578807","ENSG00000263864","SNORD48",26801
"12869","ENST00000583619","ENSG00000266300","SNORD52",26797
"12870","ENST00000580281","ENSG00000264998","",NA
"12871","ENST00000414714","ENSG00000228912","IFITM4P",NA
"12872","ENST00000480025","ENSG00000228250","LY6G6C",80740
"12874","ENST00000584237","ENSG00000266435","",NA
"12875","ENST00000400665","ENSG00000230413","HLA-G",3135
"12882","ENST00000651802","ENSG00000206159","GYG2P1",NA
"12890","ENST00000424727","ENSG00000243570","CFB",629
"12902","ENST00000407724","ENSG00000131002","TXLNGY",246126
"12925","ENST00000457073","ENSG00000235223","TMPOP1",NA
"12926","ENST00000424637","ENSG00000229710","MTCO3P1",NA
"12927","ENST00000413337","ENSG00000236688","HLA-N",NA
"12928","ENST00000437251","ENSG00000228846","",NA
"12929","ENST00000435490","ENSG00000229461","MICG",NA
"12930","ENST00000474960","ENSG00000137397","TRIM31",11074
"12939","ENST00000621111","ENSG00000237894","",285834
"12942","ENST00000453916","ENSG00000228954","",NA
"12943","ENST00000601878","ENSG00000273200","LINC01623",NA
"12944","ENST00000420349","ENSG00000227178","",NA
"12945","ENST00000416846","ENSG00000234095","HLA-N",NA
"12946","ENST00000430843","ENSG00000236271","FLOT1",10211
"12963","ENST00000635479","ENSG00000283034","ZNF445",353274
"12968","ENST00000443476","ENSG00000225248","TMEM183AP1",NA
"12969","ENST00000472840","ENSG00000225073","DDX39B",7919
"12991","ENST00000451423","ENSG00000229343","CDY22P",NA
"12992","ENST00000414751","ENSG00000232695","ELOCP17",NA
"12993","ENST00000420889","ENSG00000235511","OFD1P18Y",NA
"12994","ENST00000421750","ENSG00000232914","TRAPPC2P4",NA
"12995","ENST00000412737","ENSG00000223655","RAB9AP3",NA
"12996","ENST00000419224","ENSG00000230854","USP9YP20",NA
"12997","ENST00000516816","ENSG00000252625","RNU1-40P",NA
"12998","ENST00000420603","ENSG00000227635","USP9YP21",NA
"12999","ENST00000440468","ENSG00000237546","XKRYP6",NA
"13000","ENST00000306589","ENSG00000172283","PRYP4",NA
"13001","ENST00000383584","ENSG00000206488","ATAT1",79969
"13013","ENST00000436690","ENSG00000227867","ELOCP11",NA
"13014","ENST00000451661","ENSG00000231716","CDY23P",NA
"13015","ENST00000421008","ENSG00000234744","USP9YP26",NA
"13016","ENST00000437934","ENSG00000233156","HSFY8P",NA
"13017","ENST00000411536","ENSG00000234888","OFD1P15Y",NA
"13018","ENST00000448881","ENSG00000215507","RBMY2DP",NA
"13020","ENST00000439103","ENSG00000235014","REREP2Y",NA
"13021","ENST00000696462","ENSG00000289705","",NA
"13022","ENST00000426199","ENSG00000225876","",NA
"13023","ENST00000515987","ENSG00000251796","",NA
"13024","ENST00000367272","ENSG00000229238","PPP1R12BP1",NA
"13025","ENST00000517139","ENSG00000252948","RNU6-1314P",NA
"13026","ENST00000650002","ENSG00000281626","ZNF852",NA
"13030","ENST00000417124","ENSG00000233843","CYCSP48",NA
"13031","ENST00000344424","ENSG00000188399","ANKRD36P1",NA
"13032","ENST00000430726","ENSG00000234433","VWA7",80737
"13037","ENST00000619329","ENSG00000277146","",NA
"13038","ENST00000250823","ENSG00000129862","VCY1B",353513
"13039","ENST00000458328","ENSG00000235451","PNPLA4P1",NA
"13040","ENST00000627244","ENSG00000280781","EI24P3",NA
"13041","ENST00000696463","ENSG00000289706","",NA
"13042","ENST00000421895","ENSG00000226611","OFD1P2Y",NA
"13043","ENST00000447585","ENSG00000240438","OFD1P5Y",NA
"13044","ENST00000614868","ENSG00000276761","CWC25",NA
"13051","ENST00000651369","ENSG00000286247","",NA
"13052","ENST00000630851","ENSG00000281707","",NA
"13053","ENST00000440297","ENSG00000225624","TBL1YP1",NA
"13054","ENST00000629237","ENSG00000280969","RPS4Y2",140032
"13055","ENST00000629379","ENSG00000281894","ZKSCAN7",55888
"13063","ENST00000415994","ENSG00000224482","HSFY4P",NA
"13064","ENST00000406090","ENSG00000216844","",NA
"13065","ENST00000449858","ENSG00000229551","GAPDHP17",NA
"13066","ENST00000423409","ENSG00000226504","TMEM167AP1",NA
"13067","ENST00000527562","ENSG00000254488","",NA
"13068","ENST00000433203","ENSG00000229126","",NA
"13070","ENST00000418578","ENSG00000237427","TOMM22P1",NA
"13071","ENST00000696464","ENSG00000289707","",NA
"13073","ENST00000436364","ENSG00000232634","NEFLP1",NA
"13074","ENST00000437359","ENSG00000226918","",NA
"13075","ENST00000382764","ENSG00000183146","PRORY",NA
"13076","ENST00000433826","ENSG00000224242","BTNL2",56244
"13082","ENST00000426070","ENSG00000231558","HLA-DOA",3111
"13088","ENST00000428616","ENSG00000236615","",NA
"13089","ENST00000660183","ENSG00000288057","",NA
"13090","ENST00000451162","ENSG00000237269","RBMY2TP",NA
"13091","ENST00000303979","ENSG00000169849","TSPY14P",NA
"13092","ENST00000382759","ENSG00000169811","RBMY1HP",NA
"13093","ENST00000498405","ENSG00000224313","DXO",1797
"13107","ENST00000456659","ENSG00000242393","",NA
"13108","ENST00000383020","ENSG00000242875","RBMY1B",378948
"13111","ENST00000432263","ENSG00000231474","",NA
"13113","ENST00000457397","ENSG00000233801","NELFE",7936
"13125","ENST00000450999","ENSG00000226303","ZDHHC20P1",NA
"13126","ENST00000434024","ENSG00000231928","TRIM26BP",NA
"13127","ENST00000456012","ENSG00000231834","HLA-A",3105
"13136","ENST00000631995","ENSG00000282636","",NA
"13137","ENST00000632121","ENSG00000282043","",NA
"13138","ENST00000632493","ENSG00000282494","",NA
"13139","ENST00000631822","ENSG00000278145","C17orf78",284099
"13141","ENST00000631459","ENSG00000282348","",NA
"13143","ENST00000633434","ENSG00000277236","CCL14",6358
"13147","ENST00000439108","ENSG00000234414","RBMY1A1",5940
"13151","ENST00000632990","ENSG00000282707","",NA
"13152","ENST00000426299","ENSG00000235291","PPP1R10",5514
"13159","ENST00000611911","ENSG00000278843","MMP28",79148
"13166","ENST00000627343","ENSG00000281456","ZKSCAN7-AS1",112840933
"13167","ENST00000456261","ENSG00000227402","SLC39A7",7922
"13173","ENST00000630337","ENSG00000280661","ZNF660",NA
"13177","ENST00000628354","ENSG00000280795","MPRIPP1",NA
"13178","ENST00000627004","ENSG00000281709","ZNF197",10168
"13190","ENST00000452426","ENSG00000228257","",NA
"13191","ENST00000652128","ENSG00000184991","TTTY13",83868
"13193","ENST00000632779","ENSG00000274939","TBC1D3B",414059
"13203","ENST00000604924","ENSG00000271123","ELOCP5",NA
"13204","ENST00000452415","ENSG00000226042","CDY10P",NA
"13205","ENST00000434481","ENSG00000237023","USP9YP3",NA
"13206","ENST00000441913","ENSG00000229416","USP9YP8",NA
"13207","ENST00000447168","ENSG00000230029","CDY11P",NA
"13208","ENST00000456360","ENSG00000223637","RBMY2EP",NA
"13210","ENST00000423188","ENSG00000249663","",NA
"13211","ENST00000474061","ENSG00000223355","NOTCH4",4855
"13216","ENST00000438557","ENSG00000236657","",NA
"13217","ENST00000424335","ENSG00000237591","HLA-DRB9",NA
"13218","ENST00000474604","ENSG00000243496","HLA-DOB",3112
"13222","ENST00000411515","ENSG00000239865","RPP21",79897
"13242","ENST00000421466","ENSG00000225553","PHF1",5252
"13255","ENST00000632845","ENSG00000282166","",NA
"13256","ENST00000630371","ENSG00000280907","ZNF197-AS1",100874094
"13257","ENST00000617382","ENSG00000276833","TAF15",8148
"13271","ENST00000625394","ENSG00000281306","ZNF35",NA
"13277","ENST00000449837","ENSG00000227884","C4B-AS1",102060414
"13278","ENST00000440129","ENSG00000224118","",NA
"13279","ENST00000427136","ENSG00000234539","ATF6B",1388
"13287","ENST00000451748","ENSG00000233418","DHX16",8449
"13291","ENST00000440045","ENSG00000228104","",NA
"13292","ENST00000497087","ENSG00000206454","POU5F1",5460
"13297","ENST00000432044","ENSG00000234196","ZBTB12",221527
"13298","ENST00000420534","ENSG00000228491","MICE",NA
"13299","ENST00000465770","ENSG00000225060","PPP1R18",170954
"13303","ENST00000413671","ENSG00000225034","OR2H5P",NA
"13304","ENST00000414164","ENSG00000233043","HCG24",NA
"13305","ENST00000476591","ENSG00000229488","PRRT1",80863
"13329","ENST00000629735","ENSG00000281102","",NA
"13330","ENST00000627134","ENSG00000280872","SOCS5P3",NA
"13331","ENST00000630464","ENSG00000281448","ZNF502",91392
"13335","ENST00000413349","ENSG00000235985","AIF1",199
"13341","ENST00000458561","ENSG00000226618","PRRC2A",7916
"13355","ENST00000627775","ENSG00000281661","ZNF501",115560
"13359","ENST00000431333","ENSG00000235305","DDX39BP2",NA
"13360","ENST00000444088","ENSG00000234920","ATP6V1G2",534
"13364","ENST00000414145","ENSG00000228582","TAP2",6891
"13369","ENST00000443991","ENSG00000226267","HCG9P5",NA
"13370","ENST00000422733","ENSG00000226841","MCCD1",NA
"13371","ENST00000626149","ENSG00000281665","KIAA1143",57456
"13373","ENST00000457414","ENSG00000226538","RPL35AP4",NA
"13374","ENST00000412026","ENSG00000237812","HCG9",10255
"13375","ENST00000413113","ENSG00000226103","C6orf47",57827
"13376","ENST00000439663","ENSG00000235228","",NA
"13377","ENST00000430288","ENSG00000230134","HCG24",NA
"13378","ENST00000418599","ENSG00000237123","CDSN",NA
"13379","ENST00000631233","ENSG00000280610","KIF15",56992
"13386","ENST00000483172","ENSG00000237405","AGER",177
"13401","ENST00000428199","ENSG00000225114","",NA
"13402","ENST00000621895","ENSG00000229501","",285834
"13405","ENST00000449754","ENSG00000233564","PRR3",80742
"13411","ENST00000452371","ENSG00000223481","TAP2",6891
"13415","ENST00000439521","ENSG00000230354","STK19B",NA
"13416","ENST00000415156","ENSG00000226550","",102725019
"13419","ENST00000453059","ENSG00000240508","PSMB9",5698
"13425","ENST00000631441","ENSG00000282115","",NA
"13426","ENST00000632208","ENSG00000282521","CCL15-CCL14",NA
"13428","ENST00000631532","ENSG00000282446","",NA
"13430","ENST00000633374","ENSG00000282231","",NA
"13433","ENST00000621143","ENSG00000275397","DHRS11",79154
"13441","ENST00000427251","ENSG00000226152","",NA
"13442","ENST00000412430","ENSG00000232691","ZNRD1ASP",80862
"13453","ENST00000443603","ENSG00000227322","RXRB",6257
"13461","ENST00000634900","ENSG00000283007","",NA
"13462","ENST00000635161","ENSG00000282971","",283299
"13465","ENST00000627138","ENSG00000281118","",NA
"13466","ENST00000439265","ENSG00000231719","MCCD1P2",NA
"13467","ENST00000481162","ENSG00000237482","LY6G6E",NA
"13471","ENST00000640387","ENSG00000284476","",NA
"13473","ENST00000625920","ENSG00000280931","OR5P2",120065
"13474","ENST00000641500","ENSG00000280808","OR5P3",120066
"13476","ENST00000438312","ENSG00000226892","TSBP1",10665
"13482","ENST00000627692","ENSG00000281056","OR5E1P",NA
"13483","ENST00000629966","ENSG00000281563","RNU6-943P",NA
"13484","ENST00000641884","ENSG00000280899","OR10A6",390093
"13487","ENST00000421357","ENSG00000223618","VPS52",6293
"13493","ENST00000641438","ENSG00000281680","OR10A3",26496
"13495","ENST00000625327","ENSG00000281166","NLRP10",338322
"13497","ENST00000476210","ENSG00000226560","C2",717
"13516","ENST00000632285","ENSG00000282202","",NA
"13517","ENST00000488116","ENSG00000229998","PPP1R18",170954
"13521","ENST00000631486","ENSG00000282588","",NA
"13522","ENST00000633084","ENSG00000282498","",NA
"13524","ENST00000610551","ENSG00000273780","ARHGAP23",57636
"13535","ENST00000492872","ENSG00000228883","LY6G5C",NA
"13543","ENST00000439762","ENSG00000231370","PRRC2A",7916
"13557","ENST00000412275","ENSG00000228321","TNF",7124
"13558","ENST00000465161","ENSG00000227315","NEU1",4758
"13563","ENST00000444080","ENSG00000230915","HLA-W",NA
"13564","ENST00000473396","ENSG00000223439","HLA-J",NA
"13568","ENST00000488740","ENSG00000236210","LY6G6E",NA
"13572","ENST00000470881","ENSG00000235452","LY6G6C",80740
"13574","ENST00000627057","ENSG00000284275","MIR564",693149
"13575","ENST00000413287","ENSG00000233076","DDAH2",23564
"13585","ENST00000632091","ENSG00000282083","",NA
"13586","ENST00000630091","ENSG00000280516","TMEM42",131616
"13588","ENST00000632118","ENSG00000282071","",NA
"13589","ENST00000621187","ENSG00000282144","TBC1D3I",102724862
"13592","ENST00000469489","ENSG00000285224","",NA
"13593","ENST00000457735","ENSG00000234242","DDX39BP2",NA
"13594","ENST00000421984","ENSG00000227147","TRIM15",89870
"13599","ENST00000626185","ENSG00000281886","TGM4",7047
"13605","ENST00000477150","ENSG00000225682","DXO",1797
"13619","ENST00000633916","ENSG00000282370","",NA
"13620","ENST00000632642","ENSG00000282411","",NA
"13621","ENST00000421248","ENSG00000235765","SAPCD1-AS1",NA
"13622","ENST00000625401","ENSG00000280701","",NA
"13623","ENST00000496606","ENSG00000226033","STK19",8859
"13636","ENST00000619951","ENSG00000275903","PSMB3",NA
"13642","ENST00000443952","ENSG00000258589","",NA
"13646","ENST00000493575","ENSG00000204364","C2",717
"13664","ENST00000452871","ENSG00000223606","HLA-V",352962
"13670","ENST00000445611","ENSG00000235222","MSH5",4439
"13685","ENST00000631423","ENSG00000281967","",NA
"13686","ENST00000412044","ENSG00000229342","MYL12BP3",NA
"13687","ENST00000634036","ENSG00000282087","TBC1D3F",NA
"13688","ENST00000490503","ENSG00000227333","EHMT2",10919
"13700","ENST00000632062","ENSG00000282656","TBC1D3JP",NA
"13701","ENST00000614182","ENSG00000276125","",9560
"13711","ENST00000454254","ENSG00000225029","USP8P1",NA
"13712","ENST00000444153","ENSG00000228635","OR2P1P",NA
"13713","ENST00000419230","ENSG00000230089","",NA
"13714","ENST00000464460","ENSG00000254875","",NA
"13718","ENST00000426795","ENSG00000231592","SAR1AP1",NA
"13719","ENST00000416813","ENSG00000234992","GPR53P",NA
"13720","ENST00000489513","ENSG00000224748","TAP1",6890
"13723","ENST00000416727","ENSG00000236227","BRD2",6046
"13734","ENST00000633588","ENSG00000277336","CCL3L1",NA
"13740","ENST00000399607","ENSG00000243594","PSMB9",5698
"13746","ENST00000363110","ENSG00000278320","",NA
"13747","ENST00000620968","ENSG00000278515","",NA
"13748","ENST00000613607","ENSG00000276153","",NA
"13749","ENST00000621677","ENSG00000274262","",NA
"13750","ENST00000616654","ENSG00000277005","",NA
"13751","ENST00000636322","ENSG00000283272","",NA
"13752","ENST00000621978","ENSG00000277891","",NA
"13753","ENST00000636327","ENSG00000283276","",101930420
"13754","ENST00000612108","ENSG00000277546","",NA
"13755","ENST00000622276","ENSG00000278781","",NA
"13756","ENST00000621661","ENSG00000278779","",NA
"13757","ENST00000612357","ENSG00000277395","",NA
"13758","ENST00000419186","ENSG00000224835","C6orf47-AS1",NA
"13759","ENST00000406611","ENSG00000220391","HCG4B",NA
"13760","ENST00000383209","ENSG00000206285","B3GALT4",8705
"13761","ENST00000434184","ENSG00000233506","",NA
"13762","ENST00000478213","ENSG00000237100","C6orf136",221545
"13770","ENST00000400713","ENSG00000206516","OR2H1",26716
"13777","ENST00000634955","ENSG00000281277","FOXR1",283150
"13780","ENST00000422433","ENSG00000232357","HSD17B8",7923
"13782","ENST00000450322","ENSG00000228371","ZDHHC20P1",NA
"13783","ENST00000383586","ENSG00000206489","PPP1R10",5514
"13790","ENST00000630915","ENSG00000281029","",NA
"13791","ENST00000628388","ENSG00000283318","",NA
"13792","ENST00000629448","ENSG00000281705","CENATAC-DT",NA
"13794","ENST00000625528","ENSG00000280975","CENATAC",NA
"13804","ENST00000472708","ENSG00000231286","HLA-DQB1",3119
"13813","ENST00000515317","ENSG00000236177","HLA-DPA1",3113
"13821","ENST00000431265","ENSG00000225426","LINC01015",100507362
"13823","ENST00000593989","ENSG00000273286","RPL13P",NA
"13824","ENST00000439683","ENSG00000258635","",110599563
"13825","ENST00000436431","ENSG00000228130","SUMO2P1",NA
"13826","ENST00000446132","ENSG00000226379","HCG4",NA
"13827","ENST00000449686","ENSG00000231745","MCCD1P2",NA
"13828","ENST00000443405","ENSG00000238238","MCCD1",NA
"13829","ENST00000474325","ENSG00000232339","NOTCH4",4855
"13834","ENST00000375177","ENSG00000228454","C4B",721
"13848","ENST00000443635","ENSG00000236415","PPIAP9",NA
"13849","ENST00000455040","ENSG00000223771","SUMO2P1",NA
"13850","ENST00000453635","ENSG00000223412","SUCLA2P1",NA
"13851","ENST00000426731","ENSG00000238017","SAPCD1-AS1",NA
"13852","ENST00000443815","ENSG00000231279","",NA
"13853","ENST00000441211","ENSG00000235340","MCCD1P2",NA
"13854","ENST00000414966","ENSG00000233194","RPL32P1",NA
"13855","ENST00000488730","ENSG00000237834","MOG",4340
"13869","ENST00000400116","ENSG00000206406","CSNK2B",1460
"13881","ENST00000631227","ENSG00000281198","",NA
"13882","ENST00000626339","ENSG00000281913","RPL23AP64",NA
"13883","ENST00000627087","ENSG00000280582","",NA
"13884","ENST00000627880","ENSG00000281697","",NA
"13885","ENST00000422186","ENSG00000237881","TSBP1",10665
"13887","ENST00000631368","ENSG00000280831","RPS25",NA
"13893","ENST00000460029","ENSG00000226586","HLA-J",NA
"13897","ENST00000431191","ENSG00000227529","SAR1AP1",NA
"13898","ENST00000440369","ENSG00000228575","MDC1",9656
"13907","ENST00000450090","ENSG00000234032","VARS2",57176
"13919","ENST00000441826","ENSG00000229103","WASF5P",NA
"13920","ENST00000415151","ENSG00000240684","",NA
"13921","ENST00000451272","ENSG00000237777","OR14J1",NA
"13922","ENST00000418792","ENSG00000232473","UBQLN1P1",NA
"13923","ENST00000414460","ENSG00000241053","HCG17",414778
"13925","ENST00000455462","ENSG00000228333","RXRB",6257
"13931","ENST00000630172","ENSG00000280495","TRAPPC4",51399
"13945","ENST00000458051","ENSG00000224395","OR2H1",26716
"13952","ENST00000451133","ENSG00000224362","DDX39BP2",NA
"13953","ENST00000451304","ENSG00000223463","HLA-H",NA
"13954","ENST00000516494","ENSG00000252303","RNU6-280P",NA
"13955","ENST00000629583","ENSG00000281771","",NA
"13956","ENST00000455426","ENSG00000231048","LST1",7940
"13979","ENST00000467102","ENSG00000231502","LSM2",NA
"13986","ENST00000629772","ENSG00000284577","",NA
"13987","ENST00000642844","ENSG00000281500","SLC37A4",2542
"13989","ENST00000630883","ENSG00000281860","",NA
"13990","ENST00000412392","ENSG00000229394","ZNF70P1",NA
"13991","ENST00000445134","ENSG00000233091","RPL7P4",NA
"13992","ENST00000429592","ENSG00000227231","IER3",NA
"13994","ENST00000630669","ENSG00000280682","HYOU1",10525
"14017","ENST00000458242","ENSG00000234852","ZBTB12",221527
"14018","ENST00000430732","ENSG00000227030","RPL7AP7",NA
"14019","ENST00000441596","ENSG00000229651","MICC",NA
"14020","ENST00000412956","ENSG00000232984","OR2H1",26716
"14027","ENST00000453518","ENSG00000235952","",NA
"14028","ENST00000455889","ENSG00000240592","EGFL8",NA
"14034","ENST00000493794","ENSG00000206331","PRRT1",80863
"14058","ENST00000458042","ENSG00000228116","PPT2",9374
"14074","ENST00000438900","ENSG00000227286","HLA-DPA2",NA
"14075","ENST00000400658","ENSG00000206501","PPP1R11",6992
"14081","ENST00000514163","ENSG00000251581","MICE",NA
"14082","ENST00000415802","ENSG00000233141","MAS1L",116511
"14083","ENST00000414171","ENSG00000229653","ZNRD1ASP",80862
"14093","ENST00000427936","ENSG00000230254","HLA-E",3133
"14096","ENST00000437319","ENSG00000231919","OR2H4P",NA
"14097","ENST00000445820","ENSG00000228921","",NA
"14098","ENST00000375455","ENSG00000204359","CFB",629
"14108","ENST00000469644","ENSG00000266442","MSH5-SAPCD1",NA
"14111","ENST00000400279","ENSG00000206440","NFKBIL1",4795
"14116","ENST00000434335","ENSG00000232962","HLA-DOA",3111
"14122","ENST00000627758","ENSG00000280584","OBP2B",29989
"14127","ENST00000425999","ENSG00000224096","HCG25",414765
"14131","ENST00000391548","ENSG00000224501","HSPA1B",3304
"14133","ENST00000429349","ENSG00000225773","C4B-AS1",102060414
"14134","ENST00000430090","ENSG00000224145","TRIM15",89870
"14140","ENST00000488823","ENSG00000234729","AGER",177
"14155","ENST00000307137","ENSG00000196101","HLA-DRB3",3125
"14156","ENST00000625856","ENSG00000280820","LCN1P1",NA
"14157","ENST00000645810","ENSG00000281879","ABO",28
"14161","ENST00000449128","ENSG00000233140","",100507463
"14167","ENST00000421229","ENSG00000234078","DDR1",780
"14189","ENST00000423317","ENSG00000224923","HCG20",105375013
"14191","ENST00000453644","ENSG00000236642","",NA
"14192","ENST00000433737","ENSG00000224990","OR2G1P",NA
"14193","ENST00000458462","ENSG00000224098","RPL32P1",NA
"14194","ENST00000625498","ENSG00000280632","",NA
"14195","ENST00000453232","ENSG00000229202","PRR3",80742
"14201","ENST00000627503","ENSG00000281430","LCN1P2",NA
"14202","ENST00000629980","ENSG00000281309","SURF6",6838
"14204","ENST00000443114","ENSG00000229061","ATAT1",79969
"14216","ENST00000414916","ENSG00000206288","SLC39A7",7922
"14222","ENST00000411455","ENSG00000232641","MOG",4340
"14236","ENST00000414518","ENSG00000231939","HLA-DQB1",3119
"14237","ENST00000631178","ENSG00000281393","",NA
"14238","ENST00000631196","ENSG00000281022","MED22",6837
"14248","ENST00000416752","ENSG00000233317","MTCO3P1",NA
"14249","ENST00000413313","ENSG00000236033","HCG4B",NA
"14250","ENST00000458419","ENSG00000242511","RPL23AP1",NA
"14251","ENST00000419729","ENSG00000237559","HLA-S",NA
"14252","ENST00000472450","ENSG00000239457","HLA-DOB",3112
"14257","ENST00000383196","ENSG00000206280","ZBTB22",9278
"14259","ENST00000400691","ENSG00000137345","MOG",4340
"14273","ENST00000447153","ENSG00000232244","",NA
"14274","ENST00000411803","ENSG00000235696","C2",717
"14292","ENST00000448853","ENSG00000233857","LINC01015",100507362
"14294","ENST00000627937","ENSG00000281699","",NA
"14295","ENST00000374808","ENSG00000168384","HLA-DPA1",3113
"14303","ENST00000458433","ENSG00000227568","SNX18P26",NA
"14304","ENST00000446657","ENSG00000230931","GXYLT1P1",NA
"14305","ENST00000630979","ENSG00000280858","RPL7A",6130
"14314","ENST00000330492","ENSG00000204718","CNN2P12",NA
"14315","ENST00000652806","ENSG00000231238","LINC00349",NA
"14317","ENST00000436585","ENSG00000225016","LINC00328-2P",NA
"14318","ENST00000672053","ENSG00000121388","",NA
"14321","ENST00000623586","ENSG00000268486","",NA
"14324","ENST00000457997","ENSG00000206192","ANKRD20A9P",NA
"14325","ENST00000452841","ENSG00000235500","SNX19P2",NA
"14326","ENST00000455755","ENSG00000229427","ANKRD26P4",NA
"14327","ENST00000477545","ENSG00000226361","TERF1P5",NA
"14328","ENST00000433721","ENSG00000234894","",NA
"14329","ENST00000382071","ENSG00000240654","C1QTNF9",338872
"14331","ENST00000456851","ENSG00000233298","IFITM4P",NA
"14332","ENST00000440933","ENSG00000224105","C6orf15",29113
"14333","ENST00000434916","ENSG00000237313","LINC01556",NA
"14334","ENST00000620617","ENSG00000275964","",NA
"14335","ENST00000381989","ENSG00000102699","PARP4",143
"14338","ENST00000383542","ENSG00000206466","GABBR1",2550
"14351","ENST00000627983","ENSG00000280889","SNORD24",26820
"14352","ENST00000630949","ENSG00000281243","SNORD36B",NA
"14353","ENST00000625314","ENSG00000281907","SNORD36A",26815
"14354","ENST00000639948","ENSG00000283984","",NA
"14356","ENST00000629038","ENSG00000281541","SNORD36C",26813
"14357","ENST00000626663","ENSG00000280627","SURF1",6834
"14362","ENST00000627081","ENSG00000281163","",NA
"14363","ENST00000628862","ENSG00000280967","VPS11-DT",NA
"14364","ENST00000419907","ENSG00000233650","OR2AD1P",NA
"14365","ENST00000626621","ENSG00000280616","VPS11",55823
"14374","ENST00000444891","ENSG00000229698","HLA-F",3134
"14389","ENST00000449256","ENSG00000228458","DDX39BP2",NA
"14390","ENST00000411898","ENSG00000228469","",NA
